YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W03,2022-01-17,2022-01-23,4,14.186,19.3,6.7,4.8,4.8,272218.61,296762.76,13.7,28.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,3,24.686,31.5,18.4,5.1,5.1,271418.15,295625.94,17.3,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-W03,2022-01-17,2022-01-23,96,25.529,31.6,18.4,1.8,1.8,268383.39,295450.67,20.0,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-W03,2022-01-17,2022-01-23,41,25.4,29.5,19.4,3.0,3.0,270675.72,294836.31,19.9,31.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W03,2022-01-17,2022-01-23,6,24.557,31.1,17.4,1.1,1.1,271480.55,294572.55,20.0,31.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,2022-01-24,2022-01-30,4,24.7,30.1,19.0,5.1,5.1,271425.78,297174.91,15.7,29.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,32,25.129,31.8,19.8,4.8,4.8,270283.0,295977.61,18.5,28.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,42,20.957,26.5,14.2,8.0,8.0,267441.66,297493.35,14.0,28.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,15,25.371,29.2,21.2,17.7,17.7,268728.79,296696.63,18.1,29.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,277,26.043,32.3,21.2,7.2,7.2,274409.45,297572.9,18.5,32.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,69,25.6,30.3,21.7,7.6,7.6,275681.34,298526.09,14.9,30.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,170,26.514,34.6,21.0,4.2,4.2,275059.68,297413.78,18.6,33.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,32,26.471,31.8,22.1,6.0,6.0,272931.84,298446.76,24.9,34.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,85,26.086,29.8,23.2,10.1,10.1,254122.7,294452.72,26.0,29.31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,30,25.629,28.4,21.7,8.8,8.8,268666.13,297015.56,19.0,29.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,99,25.8,31.1,21.2,5.5,5.5,274788.01,297970.39,14.9,32.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,83,23.557,30.4,16.2,3.2,3.2,264328.55,297174.91,20.5,31.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,40,25.314,32.4,19.0,2.8,2.8,266985.75,297174.91,17.5,33.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,5,25.229,30.3,20.6,11.9,11.9,255955.29,294774.6,22.4,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,82,25.9,33.3,19.3,4.2,4.2,268095.32,296935.88,18.3,33.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,15,26.529,32.3,22.0,8.4,8.4,268764.66,295256.56,27.6,32.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,16,24.4,31.3,17.6,2.6,2.6,267452.04,296935.88,15.9,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,17,25.857,28.0,22.5,2.7,2.7,275852.0,298684.69,28.7,30.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
